IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
52.217.160.168,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16939,16,7446,25,9493
52.217.165.160,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,44,18257,18,7554,26,10703
52.217.172.232,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17838,18,7554,25,10284
52.217.173.240,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17979,17,7500,26,10479
52.217.174.72,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17053,17,7500,25,9553
52.217.175.120,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,16896,18,7554,25,9342
52.217.175.32,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17034,16,7446,25,9588
52.217.193.72,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17145,17,7500,25,9645
52.217.198.229,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17113,17,7500,25,9613
52.217.201.80,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,45,20431,18,7554,27,12877
52.217.202.80,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,16972,18,7554,25,9418
52.217.203.80,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17019,16,7446,25,9573
52.217.205.184,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17048,17,7500,25,9548
52.217.206.224,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17366,17,7500,25,9866
52.217.206.48,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17144,16,7446,25,9698
52.217.224.208,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17056,18,7554,25,9502
52.217.225.8,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17039,16,7446,25,9593
52.217.226.0,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17411,17,7500,25,9911
52.217.226.24,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17836,17,7500,25,10336
52.217.227.8,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,45,18237,19,7608,26,10629
52.217.230.136,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,17067,16,7446,25,9621
52.217.254.0,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,40,17110,15,7392,25,9718
52.217.37.110,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17891,18,7554,24,10337
52.217.43.78,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17601,18,7554,25,10047
52.217.67.214,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17238,18,7554,25,9684
