IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
3.209.117.130,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,336,216688,147,34258,189,182430
3.210.237.141,"None","None","None","None","AMAZON-AES, US","US",acsechocaptiveportal.com,acsechocaptiveportal.com,None,None,30,2937,15,1428,15,1509
3.212.135.104,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,729,490993,330,64828,399,426165
3.212.187.249,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,80,31455,30,8116,50,23339
3.214.58.173,"None","None","None","None","AMAZON-AES, US","US",ntp-g7g.amazon.com,ntp-g7g.amazon.com,None,None,2,180,1,90,1,90
3.215.39.39,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,998,751874,448,85008,550,666866
3.216.15.108,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,406,257347,166,35512,240,221835
3.216.253.228,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,885,572596,368,67264,517,505332
3.217.147.217,"None","None","None","None","AMAZON-AES, US","US",avs-alexa-14-na.amazon.com,avs-alexa-14-na.amazon.com,None,None,19549,3168576,11895,1366411,7654,1802165
3.217.242.198,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,525,361296,223,45506,302,315790
3.217.87.82,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,621,371670,243,59002,378,312668
3.218.84.31,"None","None","None","None","AMAZON-AES, US","US",acsechocaptiveportal.com,acsechocaptiveportal.com,None,None,30,2937,15,1428,15,1509
3.220.143.138,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1363,914532,542,122592,821,791940
3.221.133.8,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1861,1438360,816,168941,1045,1269419
3.223.143.190,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,2109,1459860,841,172326,1268,1287534
3.223.181.245,"None","None","None","None","AMAZON-AES, US","US",avs-alexa-14-na.amazon.com,avs-alexa-14-na.amazon.com,None,None,19592,2992774,11744,1348154,7848,1644620
3.224.206.139,"None","None","None","None","AMAZON-AES, US","US",acsechocaptiveportal.com,acsechocaptiveportal.com,None,None,30,2937,15,1428,15,1509
3.226.110.1,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,370,241232,159,35074,211,206158
3.227.30.202,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,341,194120,146,28080,195,166040
3.227.83.236,"None","None","None","None","AMAZON-AES, US","US",device-metrics-us-2.amazon.com,device-metrics-us-2.amazon.com,None,None,6000,2493993,2587,880737,3413,1613256
3.228.250.146,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1701,1304699,714,153281,987,1151418
3.230.107.109,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,385,222801,154,34720,231,188081
3.230.111.127,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,70,30792,25,7786,45,23006
3.230.12.86,"None","None","None","None","AMAZON-AES, US","US",acsechocaptiveportal.com,acsechocaptiveportal.com,None,None,10,1069,5,476,5,593
