IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
2607:f8b0:4004:c1d::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2025,1526460,1049,1219647,976,306813
2607:f8b0:4004:c1d::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1324,880830,783,644599,541,236231
2607:f8b0:4004:c1d::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,6845,721690,3391,410028,3454,311662
2607:f8b0:4004:c1d::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3521,438139,1780,187668,1741,250471
2607:f8b0:4004:c1f::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,742,91846,376,39409,366,52437
2607:f8b0:4004:c1f::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,38,13256,15,7441,23,5815
2607:f8b0:4004:c1f::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,714,88699,361,37933,353,50766
2607:f8b0:4004:c1f::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,25,12678,12,3244,13,9434
2607:f8b0:4004:c1f::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1121,121971,556,70618,565,51353
2607:f8b0:4004:c21::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3202,404144,1625,172931,1577,231213
2607:f8b0:4004:c21::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2134,265015,1078,113480,1056,151535
2607:f8b0:4004:c21::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,624,230908,266,121332,358,109576
2607:f8b0:4004:c21::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,35,12845,15,9659,20,3186
2607:f8b0:4004:c21::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,13,6470,7,3046,6,3424
2607:f8b0:4004:c21::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3256,404188,1648,174912,1608,229276
2607:f8b0:4004:c21::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,34,12758,15,9658,19,3100
2607:f8b0:4004:c21::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,57,25262,25,12731,32,12531
2607:f8b0:4004:c21::95,"None","None","None","None","GOOGLE, US","US",None,None,None,None,38,10351,18,7383,20,2968
2607:f8b0:4004:c21::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3692,321100,1845,160464,1847,160636
2607:f8b0:4004:c21::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2954,1332936,1684,1151735,1270,181201
2620:0:5301:2210:3016:245b:da55:a35f,"None","None","None","None","UMBC-AS, US","US",None,None,None,None,23267,5202921,12816,2596558,10451,2606363
